,date,price,note,status,data_index,instru,unit
0,20000814,542.375,entry,short,51,3,0
1,20000814,0.1163,entry,short,51,19,0
2,20000814,16.315,entry,short,51,26,0
3,20000814,0.8669,entry,short,51,30,0
4,20000815,143.98,entry,long,51,5,0
5,20000815,2.28355,entry,long,51,15,0
6,20000815,1.2727,entry,short,52,16,0
7,20000815,235.5,entry,short,52,18,0
8,20000815,1151.5,entry,short,51,31,0
9,20000816,47.724999999999994,entry,short,53,1,0
10,20000821,93.055,entry,long,56,11,0
11,20000821,30.08595,entry,long,56,33,0
12,20000822,120.138,entry,long,58,8,0
13,20000822,31.856,entry,long,56,20,0
14,20000823,1.044,entry,short,58,7,0
15,20000823,87.0775,entry,long,58,9,0
16,20000824,610.3,entry,short,58,13,0
17,20000824,1416.5,entry,short,59,34,0
18,20000825,1.2947,exit,short,60,16,0
19,20000825,0.1034,exit,short,124,19,0
20,20000825,1.3129,entry,short,60,2,0
21,20000828,110.09,entry,long,60,6,0
22,20000828,57.0313,entry,long,61,12,0
23,20000828,136.2,entry,short,61,17,0
24,20000829,17.0375,exit,short,62,26,0
25,20000830,552.25,exit,short,63,3,0
26,20000830,1433.0,exit,short,63,34,0
27,20000830,141.625,entry,long,62,14,0
28,20000830,0.17804999999999999,entry,long,62,25,0
29,20000901,48.34,exit,short,65,1,0
30,20000901,1161.0,exit,short,157,31,0
31,20000906,124.125,entry,short,67,10,0
32,20000907,0.17995,entry,short,68,0,0
33,20000907,739.5,entry,long,67,24,0
34,20000915,28.3516,exit,long,74,33,0
35,20000918,1415.0,entry,short,75,34,0
36,20000919,106.29,exit,long,75,6,0
37,20000919,47.455,entry,short,76,1,0
38,20000920,543.0,entry,short,77,3,0
39,20000921,237.6125,exit,short,78,18,0
40,20000921,145.5,entry,short,78,22,0
41,20000925,1.2961,exit,short,134,2,0
42,20000925,122.06799999999998,exit,long,132,8,0
43,20000925,137.39999999999998,exit,short,83,17,0
44,20000925,0.65585,entry,short,80,4,0
45,20000926,145.29,exit,long,83,5,0
46,20000926,126.225,exit,short,89,10,0
